App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
f'east,LIFESTYLE,3.8,38,4.8,"5,000",Free,0,Everyone,Lifestyle,"April 17, 2018",4.0 and up
BJ Bridge Acol Beginner 2018,GAME,3.7,11,4.8,"5,000",Free,0,Everyone,Card,"May 21, 2018",4.0 and up
The CW TV app,FAMILY,3.2,24,4.8,"5,000",Free,0,Everyone,Entertainment,"July 28, 2018",3.2 and up
MYTO CZ,MAPS_AND_NAVIGATION,2.9,30,4.8,"5,000",Free,0,Everyone,Maps & Navigation,"February 17, 2016",4.1 and up
Deck Builder & Analyzer for CR,FAMILY,3.1,52,9.8,"5,000",Free,0,Everyone,Entertainment,"May 4, 2017",4.0.3 and up
payermonstationnement.fr,MAPS_AND_NAVIGATION,,38,9.8,"5,000",Free,0,Everyone,Maps & Navigation,"June 13, 2018",4.0 and up
Funny Jokes and Stories 2018,COMICS,4.2,21,6.7,"5,000",Free,0,Everyone,Comics,"March 31, 2018",4.0 and up
CS Interview Questions (TechQ),FAMILY,4.8,33,6.7,"5,000",Free,0,Everyone,Education,"January 27, 2017",4.1 and up
[Substratum] M5 Theme,PERSONALIZATION,4.4,16,6.7,"5,000",Free,0,Everyone,Personalization,"March 10, 2018",7.0 and up
Beard Live Camera Photo Editor,BEAUTY,4.7,900,30.0,"5,000",Free,0,Everyone,Beauty,"March 25, 2018",4.0.3 and up
Br. Parking - Busy road Parking 3D 2018,FAMILY,4.5,41,30.0,"5,000",Free,0,Everyone,Simulation,"January 13, 2018",4.1 and up
ER Neck Surgery: Hospital Christmas Emergency,FAMILY,,11,30.0,"5,000",Free,0,Everyone 10+,Role Playing,"November 24, 2017",4.1 and up
BT Find Address for Bluetooth,BUSINESS,4.8,8,2.6,"5,000",Free,0,Everyone,Business,"October 31, 2017",3.0 and up
Bo Aung Din,EVENTS,4.1,110,2.6,"5,000",Free,0,Teen,Events,"June 5, 2018",4.0.3 and up
Home tips and advice,HOUSE_AND_HOME,,10,2.6,"5,000",Free,0,Everyone,House & Home,"December 28, 2017",4.0.3 and up
palmPEDi: Pediatric Tape,MEDICAL,4.6,66,2.6,"5,000",Paid,$0.99,Everyone,Medical,"December 2, 2013",3.2 and up
Droid PRoCon BF3,TOOLS,3.5,412,2.6,"5,000",Paid,$0.99,Everyone,Tools,"March 12, 2015",3.0 and up
Tamago egg,GAME,3.0,49,7.1,"5,000",Free,0,Everyone,Trivia,"October 31, 2017",2.3.3 and up
MCRAFT AR - EDITOR,FAMILY,3.4,131,22.0,"5,000",Free,0,Everyone,Simulation,"June 24, 2018",4.1 and up
Truck Simulator DT 3D,FAMILY,3.8,110,22.0,"5,000",Free,0,Everyone,Simulation,"April 23, 2017",2.3 and up
FL Racing Manager 2015 Pro,SPORTS,4.4,656,22.0,"5,000",Paid,$0.99,Everyone,Sports,"March 12, 2016",3.0 and up
Resume Maker / CV creator & Templates,TOOLS,4.2,54,22.0,"5,000",Free,0,Everyone,Tools,"April 15, 2018",4.0.3 and up
edp re:dy smarthome,TOOLS,3.4,30,22.0,"5,000",Free,0,Everyone,Tools,"June 7, 2017",4.1 and up
Axxess AX-DSP,TOOLS,3.5,17,7.4,"5,000",Free,0,Everyone,Tools,"June 4, 2018",4.4 and up
Simulator Brawl Box for BS,FAMILY,3.9,168,6.4,"5,000",Free,0,Everyone,Simulation,"June 27, 2017",4.0.3 and up
ck-modelcars Shop,SHOPPING,4.5,118,6.4,"5,000",Free,0,Everyone,Shopping,"June 15, 2018",5.0 and up
ck-modelcars-UK Shop,SHOPPING,4.6,69,6.4,"5,000",Free,0,Everyone,Shopping,"June 15, 2018",5.0 and up
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,"5,000",Free,0,Everyone,Beauty,"June 1, 2018",4.0.3 and up
BD Bank Interest,FINANCE,4.7,289,3.2,"5,000",Free,0,Everyone,Finance,"May 4, 2018",4.1 and up
CL Keyboard - Myanmar Keyboard (No Ads),TOOLS,5.0,24,3.2,"5,000",Free,0,Everyone,Tools,"June 13, 2018",4.3 and up
Calcium Pro,MEDICAL,3.4,77,9.9,"5,000",Paid,$2.99,Everyone,Medical,"April 18, 2017",4.0.3 and up
FREE LIVE TALK,DATING,4.9,776,4.9,"5,000",Free,0,Mature 17+,Dating,"July 14, 2018",4.0.3 and up
Eshopcy.com.cy,SHOPPING,4.2,182,4.9,"5,000",Free,0,Everyone,Shopping,"August 3, 2018",2.2 and up
AP Math & Computer Science,FAMILY,3.7,37,9.5,"5,000",Free,0,Everyone,Education,"July 19, 2015",2.3 and up
V BTS Wallpaper,PERSONALIZATION,4.7,127,9.5,"5,000",Free,0,Everyone,Personalization,"May 4, 2018",3.0 and up
Ek Onkar Mantras,LIFESTYLE,4.9,82,5.0,"5,000",Free,0,Everyone,Lifestyle,"August 7, 2016",4.1 and up
Santa Fe App,SPORTS,,196,5.0,"5,000",Free,0,Everyone,Sports,"August 9, 2017",4.0.3 and up
BC Wildfire,TOOLS,3.3,27,5.0,"5,000",Free,0,Everyone,Tools,"May 31, 2018",5.0 and up
Chat Anónimo Gratis Español CG,DATING,3.5,69,4.0,"5,000",Free,0,Everyone,Dating,"July 10, 2017",2.3 and up
BX Diff - Crypto Coins Checker,FINANCE,4.6,83,4.0,"5,000",Free,0,Everyone,Finance,"July 16, 2018",4.4 and up
Rewards,FINANCE,3.8,57,4.0,"5,000",Free,0,Everyone,Finance,"December 15, 2017",2.3 and up
CT MyChiroTown Mobile,MEDICAL,3.9,40,4.0,"5,000",Free,0,Everyone,Medical,"July 7, 2015",2.3.3 and up
Ai-Ball AV Recorder,PHOTOGRAPHY,2.7,90,4.0,"5,000",Paid,$2.99,Everyone,Photography,"October 19, 2017",2.3.3 and up
Punjab Online - Land Records • EB Bill Pay • RC/DL,TOOLS,3.4,16,4.0,"5,000",Free,0,Everyone,Tools,"August 7, 2018",5.0 and up
DV Lottery Photo,VIDEO_PLAYERS,2.9,23,4.0,"5,000",Free,0,Everyone,Video Players & Editors,"December 16, 2016",3.0 and up
